"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: datasetSize"
"com.research.benchmark.ArrayListBenchmark.update","avgt",1,30,6425446.660868,1103440.341404,"ns/op",1000000
"com.research.benchmark.HashMapBenchmark.delete","avgt",1,30,54.075982,4.436876,"ns/op",1000
"com.research.benchmark.HashMapBenchmark.delete","avgt",1,30,75.128821,5.749345,"ns/op",10000
"com.research.benchmark.HashMapBenchmark.delete","avgt",1,30,88.430314,8.604594,"ns/op",100000
"com.research.benchmark.HashMapBenchmark.delete","avgt",1,30,111.624838,5.668272,"ns/op",1000000
"com.research.benchmark.HashMapBenchmark.insert","avgt",1,30,365.686569,403.459307,"ns/op",1000
"com.research.benchmark.HashMapBenchmark.insert","avgt",1,30,3254.563425,9707.646417,"ns/op",10000
"com.research.benchmark.HashMapBenchmark.insert","avgt",1,30,629.827797,381.649239,"ns/op",100000
"com.research.benchmark.HashMapBenchmark.insert","avgt",1,30,242.184108,40.264650,"ns/op",1000000
"com.research.benchmark.HashMapBenchmark.iterate","avgt",1,30,9431.558020,1509.754371,"ns/op",1000
"com.research.benchmark.HashMapBenchmark.iterate","avgt",1,30,90875.415855,6536.826512,"ns/op",10000
"com.research.benchmark.HashMapBenchmark.iterate","avgt",1,30,2140158.813196,171109.947686,"ns/op",100000
"com.research.benchmark.HashMapBenchmark.iterate","avgt",1,30,23926261.897576,1334106.202444,"ns/op",1000000
"com.research.benchmark.HashMapBenchmark.search","avgt",1,30,14.443155,0.845870,"ns/op",1000
"com.research.benchmark.HashMapBenchmark.search","avgt",1,30,23.466366,2.438427,"ns/op",10000
"com.research.benchmark.HashMapBenchmark.search","avgt",1,30,40.768811,3.636103,"ns/op",100000
"com.research.benchmark.HashMapBenchmark.search","avgt",1,30,75.254377,30.236858,"ns/op",1000000
"com.research.benchmark.HashMapBenchmark.update","avgt",1,30,56.099003,4.275257,"ns/op",1000
"com.research.benchmark.HashMapBenchmark.update","avgt",1,30,92.863108,12.323233,"ns/op",10000
"com.research.benchmark.HashMapBenchmark.update","avgt",1,30,219.387909,40.282978,"ns/op",100000
"com.research.benchmark.HashMapBenchmark.update","avgt",1,30,651.858484,149.590355,"ns/op",1000000
